encuestadora,fecha,candidato,votacionEfectiva
El Financiero,06/02/18,AMLO,38
El Financiero,06/02/18,Meade,22
El Financiero,06/02/18,Anaya,27
El Financiero,06/02/18,Zavala,7
El Financiero,06/02/18,Bronco,3
El Financiero,06/02/18,R�osPiter,3
SDP Noticias ,14/12/17,AMLO,42
SDP Noticias ,14/12/17,Meade,32
SDP Noticias ,14/12/17,Anaya,15
SDP Noticias ,14/12/17,Zavala,9
SDP Noticias ,14/12/17,Bronco,3
SDP Noticias ,10/01/18,AMLO,41
SDP Noticias ,10/01/18,Meade,28
SDP Noticias ,10/01/18,Anaya,19
SDP Noticias ,10/01/18,Zavala,9
SDP Noticias ,10/01/18,Bronco,3
SDP Noticias ,08/02/18,AMLO,41
SDP Noticias ,08/02/18,Meade,27
SDP Noticias ,08/02/18,Anaya,21
SDP Noticias ,08/02/18,Zavala,8
SDP Noticias ,08/02/18,Bronco,3
SDP Noticias ,08/02/18,R�osPiter,1
