encuestadora,fecha,candidato,votacionEfectiva
El Financiero,06/02/18,AMLO,38
El Financiero,06/02/18,Meade,22
El Financiero,06/02/18,Anaya,27
El Financiero,06/02/18,Zavala,7
El Financiero,06/02/18,Bronco,3
El Financiero,06/02/18,RiosPiter,3
SDP Noticias ,14/12/17,AMLO,42
SDP Noticias ,14/12/17,Meade,32
SDP Noticias ,14/12/17,Anaya,15
SDP Noticias ,14/12/17,Zavala,9
SDP Noticias ,14/12/17,Bronco,3
SDP Noticias ,10/01/18,AMLO,41
SDP Noticias ,10/01/18,Meade,28
SDP Noticias ,10/01/18,Anaya,19
SDP Noticias ,10/01/18,Zavala,9
SDP Noticias ,10/01/18,Bronco,3
SDP Noticias ,08/02/18,AMLO,41
SDP Noticias ,08/02/18,Meade,27
SDP Noticias ,08/02/18,Anaya,21
SDP Noticias ,08/02/18,Zavala,8
SDP Noticias ,08/02/18,Bronco,3
SDP Noticias ,08/02/18,RiosPiter,1
Parametr’a,14/12/17,AMLO,42
Parametr’a,14/12/17,Meade,32
Parametr’a,14/12/17,Anaya,15
Parametr’a,14/12/17,Zavala,9
Parametr’a,14/12/17,Bronco,3
Parametr’a,10/01/18,AMLO,41
Parametr’a,10/01/18,Meade,28
Parametr’a,10/01/18,Anaya,19
Parametr’a,10/01/18,Zavala,9
Parametr’a,10/01/18,Bronco,3
Parametr’a,08/02/18,AMLO,41
Parametr’a,08/02/18,Meade,27
Parametr’a,08/02/18,Anaya,21
Parametr’a,08/02/18,Zavala,8
Parametr’a,08/02/18,Bronco,3
Parametr’a,08/02/18,RiosPiter,1
Mitofsky,17/01/18,AMLO,33
Mitofsky,17/01/18,Meade,25
Mitofsky,17/01/18,Anaya,28
Mitofsky,17/01/18,Zavala,7
Mitofsky,17/01/18,Bronco,4
Mitofsky,17/01/18,RiosPiter,3
Mitofsky,14/02/18,AMLO,36
Mitofsky,14/02/18,Meade,24
Mitofsky,14/02/18,Anaya,30
Mitofsky,14/02/18,Zavala,6
Mitofsky,14/02/18,Bronco,3
Mitofsky,14/02/18,RiosPiter,2
Mendoza Blanco & Asociados,09/02/18,AMLO,39
Mendoza Blanco & Asociados,09/02/18,Meade,21
Mendoza Blanco & Asociados,09/02/18,Anaya,34
Mendoza Blanco & Asociados,09/02/18,Zavala,4
Mendoza Blanco & Asociados,09/02/18,Bronco,3
Mendoza Blanco & Asociados,09/02/18,RiosPiter,0
Buend’a & Laredo,29/01/18,AMLO,40
Buend’a & Laredo,29/01/18,Meade,20
Buend’a & Laredo,29/01/18,Anaya,33
Buend’a & Laredo,29/01/18,Zavala,5
Buend’a & Laredo,29/01/18,Bronco,3
Suasor,08/01/18,AMLO,33
Suasor,08/01/18,Meade,31
Suasor,08/01/18,Anaya,25
Suasor,08/01/18,Zavala,8
Suasor,08/01/18,Bronco,3
Suasor,31/01/18,AMLO,37
Suasor,31/01/18,Meade,33
Suasor,31/01/18,Anaya,30
Suasor,31/01/18,Zavala,-
Suasor,31/01/18,Bronco,-
