Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,Candidato,Tema
2017,12,14,,,,,,,Inicio de Precampaña,José Antonio Meade,,,,https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,14,8:00,,,,,,"Spot ""Visión""","Primer spot de Meade con los mensajes ""el México que tú quiere es posible"", ""convertir al país en una potencia mundial"" y cierra con Meade18.",https://www.youtube.com/watch?v=6h0kUokutdQ,,"Spot ""Visión""",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,14,16:00,,,,,,"Spot ""Mujeres""",Spot donde aparece Meade cercano a las mujeres y buscando su apoyo.,https://www.youtube.com/watch?v=XgWh0y7wwZU,,"Spot ""Mujeres""",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,14,,,,,,,Equipo de Campaña,Aurelio Nuño inicia la precampaña como Coordinador de Campaña y Alejandra Sota como su Asesora Política.,http://www.politicayestilo.com/wp-content/uploads/2017/03/alejandra_sota_mirafuentes.jpg,,Alejandra Sota,https://i.imgur.com/6pKqN8a.png,,Actores,,Meade,
2017,12,15,,,,,,,Acompaña a M. Arriola en la CDMX,Meade acompañó a Mikel Arriola en su registro como precandidato por la CDMX.,https://i0.wp.com/noticieros.televisa.com/wp-content/uploads/2017/12/mikel-arreola-y-jose-antonio-meade.jpg?resize=1045%2C602&quality=100,,Mikel Arriola y José Meade,https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
2017,12,16,,,,,,,"Spot ""Navidad""",Meade aparece dando un mensaje navideño.,https://www.youtube.com/watch?v=Vc5GFb8HTJg,,"Spot ""Navidad""",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,16,08:00,,,,,,Posicionamiento sobre violencia de género,"En gira por Puebla, propone un alto total a la discriminación y violencia de género y generar mayor inclusión y protección efectiva para las mexicanas.",https://twitter.com/JoseAMeadeK/status/942154872006283264,,Twitter,https://seeklogo.com/images/P/pri-logo-DFDD8E1515-seeklogo.com.png,,Propuestas,,Meade,Mujeres
2017,12,18,,,,,,,Impulso a la región sureste,"En conferencia de prensa en Campeche, Meade aseguró que uno de sus objetivos es impulsar el desarrollo del sureste del país. Por esa razón inició su proselitismo en esa parte de México.",,,Twitter,https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,18,08:00,,,,,,Apoyo a la Ley de Seguridad Interior,"En Campeche, aseveró que la Ley de Seguridad Interior es un esfuerzo para regular la participación de las Fuerzas Armadas frente a los ciudadanos.",https://www.youtube.com/watch?v=Z7sc8NelLGY,,Ley de Seguridad Interior abre debate para fortalecerse: Meade,https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,18,,,,,,,Jaime González Aguadé,Presentó su renuncia a la Presidencia de la Comisión Nacional Bancaria de Valores para unirse a la precampaña.,http://www.cnbv.gob.mx/CNBV/PublishingImages/Jaime_Gonzalez.jpg,,Jaime González Aguadé,https://i.imgur.com/6pKqN8a.png,,Actores,,Meade,
2017,12,19,,,,,,,Declaración de AMLO,AMLO pidió a Meade que explique por qué ordenó el gasolinazo,http://lopezobrador.org.mx/wp-content/uploads/2017/12/Huautla-de-Jim%C3%A9nez.03-1024x683.jpg,,"<a href=""http://lopezobrador.org.mx/2017/12/19/inicia-amlo-precampana-por-municipios-de-oaxaca/""> Leer nota completa</a>",https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
2017,12,19,08:00,,,,,,Columna de Raymudo Riva Palacio,"En su columna ""2018, el dilema de Meade (I)"", Riva Palacio hace una analogía entre el inicio de campaña de Meade y Colosio. Comenta que ambos son herederos del legado del presidente anterior, Peña Nieto debe pensar cómo reconciliar a Osorio Chong, no debe haber contracampaña al interior del partido como lo hicieron Manuel Camacho y Jorge Carpizo. El problema de Meade lo está teniendo con la integración de su viejo equipo y el que está llegando con Nuño.",http://snn.imer.gob.mx/antenaradio/files/2011/01/raymundo-riva-palacio-4.jpg,,"Raymundo Riva Palacio  <br><a href=""http://www.elfinanciero.com.mx/opinion/2018-el-dilema-de-meade-i.html""> Leer columna </a>",https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
2017,12,20,,,,,,,Registro como precandidato por el PANAL,,http://redfm921.com/wp-content/uploads/2017/12/Noticia_Nacional_20171220_MeadeSeRegistraPANAL-696x464.jpeg,,,https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,20,08:00,,,,,,Crítica a propuestas de Anaya y AMLO,"Meade aseguró que las propuestas de Anaya de crear una renta básica y de AMLO de becar a los""ninis"" le dan tranquilidad, pues están fuera de la realidad y no tienen lógica. También acusó que las alianzas PAN-PRD-MC y MORENA-PT-PES carecen de un ideal común.",http://redfm921.com/wp-content/uploads/2017/12/Noticias_Nacional_20171220_Meade-1-1-696x464.jpg,,"Criticó las propuestas de sus contrincantes<a href=""http://redfm921.com/noticias/propuestas-de-anaya-y-amlo-estan-fuera-de-logica-meade.html""> Leer nota </a>",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,20,,,,,,,Columna de Raymudo Riva Palacio,"En su columna ""2018, el dilema de Meade (II)"", Riva Palacio continúa comparando a Meade con Colosio respecto al discurso de continuidad, pero acaba diciendo que un rompimiento no sería benéfico, pues perdería su núcleo duro de votos. No le queda más camino que admitir que es el candidato de la continuidad.",http://snn.imer.gob.mx/antenaradio/files/2011/01/raymundo-riva-palacio-4.jpg,,"Raymundo Riva Palacio <a href=""http://www.elfinanciero.com.mx/opinion/2018-el-dilema-de-meade-ii.html""> Leer columna </a>",https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
2017,12,21,,,,,,,Columna de Raymudo Riva Palacio,"En su columna ""2018, el dilema de Meade (II)"", Riva Palacio habla sobre el futuro político de Osorio Chong. Dice que Osorio no se quiere ver como Miguel Camacho, pero parece indicar que ordenó provocar una ruptura dentro del PES, quien esa semana postuló a AMLO como su precandidato. Osorio Chong está en déficit tras el destape; dentro del gobierno han detectado lo que hace y no hace.",http://snn.imer.gob.mx/antenaradio/files/2011/01/raymundo-riva-palacio-4.jpg,,"Raymundo Riva Palacio <a href=""http://www.elfinanciero.com.mx/opinion/2018-el-dilema-de-meade-iii.html""> Leer columna </a>",https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
2017,12,22,,,,,,,Visita Sonora,"Publicó en Twitter que visitó Sonora, la tierra de Colosio, en donde sus ideas siguen vigentes en la militancia.",https://twitter.com/JoseAMeadeK/status/944270395275862016,,Twiiter,https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,22,,,,,,,Columna de Raymudo Riva Palacio,"En su columna ""2018, el dilema de Meade (IV)"", Riva Palacio detalla que a una semana de precampaña, ya hay rompimientos al interior del equipo de Meade. Principalmente a raíz del quiebre con Osorio Chong y que el equipo de Nuño no está funcionando íntegralmente.",http://snn.imer.gob.mx/antenaradio/files/2011/01/raymundo-riva-palacio-4.jpg,,"Raymundo Riva Palacio <a href=""http://www.elfinanciero.com.mx/opinion/2018-el-dilema-de-meade-y-iv.html""> Leer columna </a>",https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
2017,12,22,,,,,,,Declaración de Aurelio Nuño,"Nuño dijo que AMLO está preocupado más preocupado por la campaña del PRI que por la suya. Calificó al tabasqueño de autoritario y de tener poca estabilidad emocional. A su vez, reiteró que AMLO busca un pacto con Elba Esther Gordillo.",https://i2.sdpnoticias.com/sdpnoticias/2017/12/22/2018_nuno-meade_620x350.jpg,,Aurelio Nuño y José Antonio Meade,https://i.imgur.com/6pKqN8a.png,,Actores,,Meade,
2017,12,25,,,,,,,Spot Fiestas,,https://www.youtube.com/watch?v=A-rbfGzJ0qA&index=7&list=PLsczVK0feV9GDcQVYBiVXaQDqZoGe7Fde,,Spot con bloopers,https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,27,,,,,,,Vincula Meade inseguridad con Frente,"Meade vinculó el aumento de inseguridad con gobiernos de los partidos que integran el Frente. En cambio, destacó que cuatro de los cinco estados con menor crecimiento de la violencia, son gobernados por el PRI.",http://www.elfinanciero.com.mx/files/article_main/uploads/2017/12/24/5a40193b65e09.jpg,,"Declaración durante un encuentro con militantes priistas en Guadalajara <a href=""http://www.elfinanciero.com.mx/nacional/estados-mas-violentos-son-gobernados-por-el-frente-meade.html""> Leer nota </a>",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,27,,,,,,,Reforma Educativa,Durante gira por Jalisco declaró que no se permitirá revertir la Reforma Educativa.,https://twitter.com/JoseAMeadeK/status/946145149226291201,,Twitter,https://seeklogo.com/images/P/pri-logo-DFDD8E1515-seeklogo.com.png,,Propuestas,,Meade,Educación
2017,12,27,,,,,,,Artículo de Proceso,"Artículo de Proceso que detalla su gira por Jalisco. Dice que no logró ""prender"" a los priístas de la entidad, pues la mayoría no respondía a las indicaciones del animador. Durante su discurso, tocó los temas de apoyos federales que ha dado a Jalisco por medio de la Financiera Rural y de SEDESOL, así como defensa a la reforma educativa y la ley de seguridad interior.",https://cdn.proceso.com.mx/media/2017/12/jose-antonio-meade-1078x777.jpg,,"Encuentro con militancia <a href=""http://www.proceso.com.mx/516517/meade-no-logra-prender-priistas-de-jalisco""> Leer nota </a>",https://i.imgur.com/JIQnSEx.png,,Entorno,,Meade,
